shadow_id,split,top1,top2,top3,margin,entropy,pred_class,label
0,train,0.9145435999990854,0.08545639999991453,0.0,0.8290871999991709,0.29189759640610924,1.0,1
0,train,0.7683193999992316,0.2316805999997683,0.0,0.5366387999994633,0.5412990688023769,1.0,1
0,train,0.9097191999990901,0.09028079999990976,0.0,0.8194383999991803,0.3031870108645873,1.0,1
0,train,0.9922913599990075,0.007708639999992291,0.0,0.9845827199990153,0.04518457292614213,0.0,1
0,train,0.7242561599992756,0.27574383999972424,0.0,0.4485123199995514,0.5888884694588334,0.0,1
0,train,0.6552491999993447,0.34475079999965524,0.0,0.3104983999996895,0.6441364785115687,1.0,1
0,train,0.9431351999990567,0.05686479999994318,0.0,0.8862703999991135,0.21825230880133753,1.0,1
0,train,0.8848933299991151,0.11510666999988488,0.0,0.7697866599992302,0.35706063922712117,0.0,1
0,train,0.6364988999993634,0.3635010999996365,0.0,0.2729977999997269,0.655406038699877,0.0,1
0,train,0.8441276999991558,0.1558722999998441,0.0,0.6882553999993117,0.4327613790093349,1.0,1
0,train,0.885879635999114,0.11412036399988587,0.0,0.7717592719992281,0.3550441745426242,0.0,1
0,train,0.8595726499991404,0.1404273499998595,0.0,0.7191452999992809,0.40573849145421526,1.0,1
0,train,0.9773923749990225,0.02260762499997739,0.0,0.9547847499990452,0.10802099716944327,0.0,1
0,train,0.8221274599991778,0.17787253999982208,0.0,0.6442549199993557,0.46815213846714365,1.0,1
0,train,0.9322803299990676,0.06771966999993227,0.0,0.8645606599991353,0.24770009604929416,0.0,1
0,train,0.7340020999992659,0.265997899999734,0.0,0.4680041999995319,0.5792375023051455,0.0,1
0,train,0.9665755999990333,0.033424399999966596,0.0,0.9331511999990667,0.1464512658418557,1.0,1
0,train,0.6345441299993654,0.36545586999963453,0.0,0.26908825999973085,0.6564928502113675,0.0,1
0,train,0.9521427969990478,0.047857202999952136,0.0,0.9042855939990957,0.19215690739062483,0.0,1
0,train,0.5193621999994806,0.48063779999951933,0.0,0.0387243999999613,0.6923972034749659,1.0,1
0,train,0.9715663999990284,0.028433599999971512,0.0,0.9431327999990569,0.12925431873034463,1.0,1
0,train,0.8351691399991648,0.16483085999983518,0.0,0.6703382799993296,0.44759442350242973,1.0,1
0,train,0.6884859999993115,0.31151399999968843,0.0,0.37697199999962305,0.6203066917318896,1.0,1
0,train,0.958927999999041,0.04107199999995892,0.0,0.9178559999990821,0.1713361845172109,1.0,1
0,train,0.7300080699992699,0.26999192999973,0.0,0.46001613999953994,0.5832508133592068,1.0,1
0,train,0.6887441599993112,0.3112558399996887,0.0,0.37748831999962246,0.6201018023660405,0.0,1
0,train,0.6507211299993492,0.3492788699996507,0.0,0.3014422599996985,0.6469990880076538,1.0,1
0,train,0.8423220199991576,0.15767797999984232,0.0,0.6846440399993152,0.435799302796465,0.0,1
0,train,0.9195320999990804,0.08046789999991956,0.0,0.8390641999991608,0.2799106612871497,1.0,1
0,train,0.9807761939990192,0.019223805999980775,0.0,0.9615523879990384,0.09500273776089929,0.0,1
0,train,0.6624516999993375,0.33754829999966246,0.0,0.32490339999967505,0.6393958706312535,1.0,1
0,train,0.8193256299991807,0.1806743699998193,0.0,0.6386512599993613,0.4724145269997383,0.0,1
0,train,0.9546588699990453,0.045341129999954606,0.0,0.9093177399990906,0.18456195492255018,1.0,1
0,train,0.6255066699993744,0.3744933299996255,0.0,0.25101333999974895,0.6613038703828253,0.0,1
0,train,0.8085406399991915,0.19145935999980848,0.0,0.617081279999383,0.48833214580965667,1.0,1
0,train,0.731885399999268,0.26811459999973186,0.0,0.4637707999995362,0.5813745478546024,0.0,1
0,train,0.9515363999990484,0.04846359999995158,0.0,0.9030727999990968,0.19396631477099108,1.0,1
0,train,0.84991263999915,0.1500873599998499,0.0,0.6998252799993001,0.4228605926304647,1.0,1
0,train,0.6223301999993776,0.3776697999996223,0.0,0.24466039999975525,0.6629118487038171,0.0,1
0,train,0.9545517599990453,0.04544823999995458,0.0,0.9091035199990907,0.1848882016117396,1.0,1
0,train,0.9737135999990262,0.026286399999973755,0.0,0.9474271999990524,0.1215862628403595,1.0,1
0,train,0.9651411999990348,0.03485879999996511,0.0,0.9302823999990697,0.15124585416212155,1.0,1
0,train,0.8737586999991261,0.12624129999987374,0.0,0.7475173999992524,0.37917859563388323,1.0,1
0,train,0.8716433999991282,0.12835659999987167,0.0,0.7432867999992565,0.38325068787141237,1.0,1
0,train,0.9995797870790003,0.00042021291999957977,0.0,0.9991595741590007,0.0036871746073039212,0.0,1
0,train,0.9515708799990483,0.048429119999951566,0.0,0.9031417599990967,0.1938636457826213,0.0,1
0,train,0.9553628999990446,0.04463709999995535,0.0,0.9107257999990892,0.18241092337025244,1.0,1
0,train,0.848991749999151,0.15100824999984894,0.0,0.697983499999302,0.4244540201089304,1.0,1
0,train,0.9632235239990367,0.03677647599996322,0.0,0.9264470479990734,0.15756068317095304,0.0,1
0,train,0.7242457599992758,0.2757542399997242,0.0,0.44849151999955156,0.5888985121854025,0.0,1
0,train,0.9794827699990204,0.020517229999979535,0.0,0.9589655399990409,0.10004531172460979,1.0,1
0,train,0.775995399999224,0.22400459999977598,0.0,0.551990799999448,0.5319299231733188,1.0,1
0,train,0.8862690259991136,0.11373097399988626,0.0,0.7725380519992273,0.35424543631478955,0.0,1
0,train,0.8221289699991777,0.17787102999982213,0.0,0.6442579399993555,0.4681498269087393,0.0,1
0,train,0.6318787299993681,0.3681212699996318,0.0,0.2637574599997363,0.6579482126191637,1.0,1
0,train,0.667984549999332,0.3320154499996679,0.0,0.33596909999966407,0.6355967707582378,0.0,1
0,train,0.9787836999990212,0.021216299999978747,0.0,0.9575673999990424,0.10273572230715189,1.0,1
0,train,0.7556172999992442,0.2443826999997556,0.0,0.5112345999994886,0.5560793399280433,0.0,1
